y_true,y_prob
0,0.6127995208579609
1,0.7142678178334593
1,0.6760433949705725
1,0.3124626604154501
0,0.07472900563187115
0,0.6691766716326195
0,0.5993059334245008
1,0.5104116644485466
1,0.3878419576490045
1,0.5137120144988573
0,0.4197945615093386
0,0.403620157511883
0,0.2433072858361579
0,0.6420222710655517
1,0.2201068775211673
1,0.5301404234074606
0,0.08383114175662397
1,0.77857929414833
0,0.8006264901202802
0,0.05728823794950675
0,0.19778799864447946
0,0.17395682780615576
1,0.42257834819112255
1,0.6066361784088488
0,0.5102197044767246
0,0.6320652454933575
1,0.5995153790788306
0,0.6965515299285877
0,0.17373174944189076
1,0.6498806468374337
0,0.11044878479850447
1,0.3411756046768
0,0.6622874581513766
0,0.41798628378807096
0,0.4521465617941118
0,0.2389396458528532
0,0.12068654057387987
0,0.7126456343944598
0,0.18566711232575636
0,0.3009229222431143
1,0.35450822338868343
1,0.7616638215486511
1,0.6841228259896793
0,0.23468517069602665
0,0.18805690957834326
1,0.5856205195858167
1,0.3721938613261194
1,0.5279705134997508
0,0.6202442100152245
0,0.41580455710316
0,0.24881355362377938
0,0.6564741860752891
0,0.11725911459035138
0,0.1732985516330277
0,0.6763491506052032
0,0.0981850489186364
0,0.1572816266248694
0,0.09855173045342028
0,0.23292026500380067
1,0.8314730611160358
1,0.6434701188812741
1,0.46081126606175643
0,0.5472216399478451
0,0.037001601486045484
0,0.5356021234181573
1,0.6268857555734505
1,0.5879763337011593
0,0.03512498666848027
1,0.39772056534290606
1,0.5561220408567482
0,0.18556568024926967
0,0.023136924106050342
0,0.7447779364051692
0,0.22581335365662103
0,0.1434352599469918
0,0.025571868109137495
0,0.4440703136268003
0,0.003186697816604344
1,0.6537300737055376
0,0.550815211994766
0,0.4414420260398959
0,0.05766951892552835
0,0.20786923469779933
0,0.7406899540025538
0,0.46155506874151675
0,0.3562254002412043
1,0.18388015745142383
0,0.13746145657144887
0,0.0064043433194252266
0,0.07266394484494887
0,0.031147563035768277
0,0.7917294467376864
0,0.4625383479298983
1,0.788807554283127
0,0.039196172516451695
0,0.19833372173841962
0,0.6171478478299125
1,0.5459240869548885
